,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
110,110,6941 Izier,Bungalow,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, To be done up,0.0
111,111,5621 Hanzinelle,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,131.0,2.0, To be done up,0.0
112,112,6030 Marchienne-au-Pont,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,354.0,2.0,Good,0.0
113,113,1930 Zaventem,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,190.0,2.0,Good,0.0
114,114,6060 Gilly,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,215.0,2.0, To be done up,0.0
115,115,7110 Houdeng-Aimeries,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,288.0,2.0, To renovate,0.0
116,116,4870 Nessonvaux,House,50000,2.0,80.0,Installed,0.0,0.0,0.0,,0.0,,80.0,80.0,3.0, To restore,0.0
117,117,7300 Boussu,Apartment,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, To renovate,0.0
118,118,4671 Housse,House,50000,4.0,201.43684820393975,Installed,0.0,0.0,0.0,,1.0,1235.0,201.43684820393975,1385.0,3.0, As new,0.0
119,119,7340 Colfontaine,Apartment block,50000,4.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
120,120,6150 Anderlues,House,50000,1.0,79.0,Installed,0.0,0.0,0.0,,0.0,,79.0,363.0,2.0, To renovate,0.0
121,121,7602 Bury,House,50000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,580.0,2.0, To renovate,0.0
122,122,7971 Bascles,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,188.0,2.0, To renovate,0.0
123,123,7340 PTURAGES,House,50000,2.0,201.43684820393975,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393975,170.0,2.0,Good,0.0
124,124,5651 Thy-le-Chateau,House,50000,3.0,100.0,Installed,0.0,0.0,0.0,,0.0,,100.0,100.0,3.0,Good,0.0
125,125,6041 Gosselies,House,50000,2.0,78.0,Installed,0.0,0.0,0.0,,0.0,,78.0,78.0,2.0, To renovate,0.0
126,126,7130 Binche,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,75.0,2.0,Good,0.0
127,127,7600 Pruwelz,House,50000,3.0,147.0,Installed,0.0,0.0,0.0,,0.0,,147.0,170.0,4.0,Good,0.0
128,128,7012 Jemappes,House,50000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
129,129,7110 Houdeng-Aimeries,House,50000,2.0,80.0,Installed,0.0,0.0,0.0,,0.0,,80.0,425.0,2.0, To renovate,0.0
130,130,6000 Charleroi,Apartment,50000,1.0,65.0,Installed,0.0,0.0,0.0,,0.0,,65.0,65.0,2.0,Good,0.0
131,131,7191 Ecaussinnes,House,51000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,87.0,2.0,Good,0.0
132,132,7134 Ressaix,House,51000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,220.0,3.0, To restore,0.0
133,133,6020 Dampremy,House,51000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
134,134,7340 Colfontaine,House,52500,2.0,85.0,Installed,0.0,0.0,0.0,,1.0,1300.0,85.0,1385.0,3.0, To renovate,0.0
135,135,8890 Moorslede,bouwgronden en 1 trendy,53790,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
136,136,4020 Liege,Studio,54000,2.0,16.0,Installed,0.0,0.0,0.0,,0.0,,16.0,16.0,2.0, Good,0.0
137,137,7080 Frameries,House,54000,2.0,80.0,Installed,0.0,0.0,0.0,,0.0,,80.0,100.0,3.0, To restore,0.0
138,138,6061 Montignies-sur-Sambre,House,54000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,170.0,3.0, To restore,0.0
139,139,4020 Lige,Apartment,55000,1.0,28.0,Installed,0.0,0.0,0.0,,0.0,,28.0,28.0,2.0,Good,0.0
140,140,8400 Oostende,Longchamps,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
141,141,8620 Nieuwpoort,Residentie Filou,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
142,142,9000 Gent,Studio,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
143,143,6040 Jumet,House,55000,4.0,202.0,Semi equipped,0.0,0.0,0.0,,0.0,,202.0,202.0,3.0,Good,0.0
144,144,5650 Yves-Gomeze,House,55000,3.0,127.0,Not installed,0.0,0.0,0.0,,0.0,,127.0,127.0,3.0, To renovate,0.0
145,145,7340 Colfontaine,House,55000,2.0,56.0,Installed,0.0,0.0,0.0,,0.0,,56.0,230.0,2.0,Good,0.0
146,146,6183 Trazegnies,House,55000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
147,147,6940 Barvaux-sur-Ourthe,Chalet,55000,2.0,60.0,Installed,0.0,0.0,0.0,,0.0,,60.0,282.0,4.0, Good,0.0
148,148,7321 Blaton,House,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,1380.0,2.0, To renovate,0.0
149,149,5500 Dinant,Town-house,55000,2.0,112.0,Installed,0.0,0.0,0.0,,0.0,,112.0,131.0,2.0,Good,0.0
150,150,5550 MEMBRE-SUR-SEMOIS,Apartment,55000,1.0,32.0,Semi equipped,1.0,0.0,0.0,,0.0,,32.0,32.0,2.0, As new,0.0
151,151,5030 Gembloux,Service flat,55000,2.0,201.43684820393975,Semi equipped,0.0,0.0,1.0,3.0,0.0,,201.43684820393975,201.43684820393975,4.0, As new,0.0
152,152,8660 De Panne,Studio,55000,2.0,22.0,Installed,1.0,0.0,0.0,,0.0,,22.0,22.0,2.0, Good,0.0
153,153,7940 Brugelette,Brugelette,55000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
154,154,8420 Wenduine,Studio,55000,2.0,20.0,Installed,0.0,0.0,0.0,,0.0,,20.0,20.0,2.0, To be done up,0.0
155,155,5540 Hastire-Lavaux,Chalet,55000,2.0,40.0,Semi equipped,0.0,0.0,0.0,,0.0,,40.0,320.0,4.0, Good,0.0
156,156,6000 Charleroi,Studio,55000,2.0,201.43684820393975,Semi equipped,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0, Good,0.0
